keyword	TC	Centrality	Burst	PY	BurstBegin	BurstEnd	Span	HalfLife2	Status	WaitingTime
@PHRASE应用效果	9.0	1.8656995524760146E-4	4.2476	2017	2017	2019	3	1.5	1	0
@PHRASE老旧住区	30.0	0.006879977276693609	4.0724	2017	2020	2022	3	4.5	1	3
@PHRASE品管圈	31.0	0.0027885828195100062	10.3504	2014	2014	2019	6	1.5	1	0
@PHRASE服务设计	16.0	8.001601672664272E-4	5.9392	2021	2021	2022	2	0.5	1	0
@PHRASE护理干预	71.0	0.021411936628418813	11.4435	2009	2009	2016	8	5.5	1	0
@PHRASE失能老人	18.0	0.002040779086518554	4.8018	2021	2021	2026	6	1.5	1	0
@PHRASE住院患者	146.0	0.05906762163654727	4.6995	2007	2018	2019	2	9.5	1	11
@PHRASE效果	11.0	4.3551440282356413E-4	3.8772	2014	2018	2020	3	3.5	1	4
@PHRASE智能化	7.0	7.668521110604114E-4	3.5138	2023	2023	2024	2	-0.5	1	0
@PHRASE分级护理	14.0	3.0279813349583495E-4	5.9047	2014	2014	2018	5	1.5	1	0
@PHRASE住院病人	22.0	0.021950248914292942	4.0292	2005	2005	2019	15	10.5	1	0
@PHRASE改造设计	41.0	0.0038607202102022933	3.9647	2018	2022	2024	3	3.5	1	4
@PHRASE原因	14.0	0.0037007736766897377	5.9303	2009	2009	2016	8	5.5	1	0
@PHRASE健康教育	49.0	0.014077914559164002	8.0277	2005	2005	2013	9	10.5	1	0
@PHRASE智慧养老	49.0	0.011742722069232306	13.3936	2021	2021	2026	6	1.5	1	0
@PHRASE危险因素	63.0	0.026313198918996285	11.8149	2006	2006	2018	13	7.5	1	0
@PHRASE养老需求	6.0	0.0	3.2632	2021	2021	2022	2	0.5	1	0
@PHRASE无障碍	9.0	5.894514915236873E-4	3.1663	2021	2021	2024	4	1.5	1	0
@PHRASE内科	6.0	3.07404729871929E-4	3.1566	2015	2015	2017	3	1.5	1	0
@PHRASE养老服务	29.0	0.0019210967507721133	6.495	2017	2021	2026	6	5.5	1	4
@PHRASE室内设计	13.0	0.007001281924642771	5.8342	2021	2021	2023	3	0.5	1	0
@PHRASE数字鸿沟	22.0	0.002361789443605794	9.2229	2022	2022	2024	3	0.5	1	0
@PHRASE安全管理	24.0	0.007483681798434529	6.0072	2009	2009	2016	8	4.5	1	0
@PHRASE护理质量	8.0	5.859543835186906E-5	4.3224	2018	2018	2019	2	0.5	1	0
@PHRASE风险管理	29.0	0.0017887193055894054	10.8455	2015	2015	2019	5	1.5	1	0
@PHRASE景观设计	17.0	0.011253586369239867	5.7399	2022	2022	2026	5	0.5	1	0
@PHRASE意外跌倒	54.0	0.008814337341751641	11.7425	2008	2010	2016	7	6.5	1	2
@PHRASE居家养老	310.0	0.21393619049033588	7.5902	2009	2022	2024	3	12.5	1	13
@PHRASE脑卒中	49.0	0.0160617470150651	4.8259	2010	2010	2015	6	5.5	1	0
@PHRASE预防措施	15.0	0.0013507631382973517	4.7945	2007	2007	2013	7	5.5	1	0
@PHRASE社会工作	12.0	8.273360943214618E-5	5.0189	2022	2022	2024	3	0.5	1	0
@PHRASE坠床	18.0	0.0128653234347095	4.9438	2011	2011	2017	7	4.5	1	0
@PHRASE既有住区	18.0	6.444879165510522E-4	4.4563	2016	2018	2020	3	1.5	1	2
@PHRASE老年人	633.0	0.6268830249380689	8.8078	2005	2005	2009	5	14.5	1	0
@PHRASE老年	49.0	0.010914378512879509	7.3346	2008	2013	2018	6	8.5	1	5
@PHRASE养老设施	17.0	9.074511650534651E-4	3.9565	2018	2018	2023	6	2.5	1	0
@PHRASE患者跌倒	8.0	0.019299001349791883	4.3742	2006	2006	2013	8	5.5	1	0
