序号_E,提交时间_E,答题时长_E,问卷来源_E,来源详情_E,IP_E,问卷总分_E,性别_1_1_E,年龄_1_2_E,健康状况_1_3_E,居住行政区_1_4_E,养老居住场景_1_5_E,居家跌倒经历_1_6_E,已装扶手_1_7_E,扶手安装场景_卫生间_2_1_1_E,扶手安装场景_床边_2_1_2_E,扶手安装场景_楼道_2_1_3_E,扶手安装场景_阳台_2_1_4_E,扶手安装场景_其他_2_1_5_E,扶手偏好类型_基础不锈钢_2_2_1_E,扶手偏好类型_可折叠_2_2_2_E,扶手偏好类型_防滑_2_2_3_E,扶手偏好类型_智能预警_2_2_4_E,扶手偏好类型_其他_2_2_5_E,可接受价格_2_3_E,补贴期望_提高力度_2_4_1_E,补贴期望_简化流程_2_4_2_E,补贴期望_差异化补贴_2_4_3_E,补贴期望_社区代办_2_4_4_E,补贴期望_其他_2_4_5_E,风险收益_3_1_1_E,风险收益_3_1_2_E,风险收益_3_1_3_E,风险收益_3_1_4_E,社会支持_3_2_1_E,社会支持_3_2_2_E,社会支持_3_2_3_E,社会支持_3_2_4_E,政策适配_3_3_1_E,政策适配_3_3_2_E,政策适配_3_3_3_E,政策适配_3_3_4_E,生活依赖_3_4_1_E,生活依赖_3_4_2_E,生活依赖_3_4_3_E,生活依赖_3_4_4_E,使用意愿_3_5_1_E,使用意愿_3_5_2_E,使用意愿_3_5_3_E,产品设计改进建议_4_1_E,政府社区支持建议_4_2_E
24,2026-02-25T05:40:00Z,371,微信,,180.213.132.141(天津-天津),62,1,1,1,2,2,2,2,1,1,0,1,0,0,1,0,0,0,2,1,1,1,0,0,3,4,3,4,3,2,4,3,2,3,2,3,5,4,3,4,4,3,3,高度最好能自己调，老人个子不一样，固定的不太合适。,我腿还行，就是腰不行，起坐时需要借力，社区能不能针对不同情况推荐不同的扶手？
25,2026-02-25T05:40:07Z,205,微信,,111.30.246.239(天津-天津),61,1,1,1,2,2,1,2,1,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,5,4,4,5,5,5,5,3,1,1,1,2,2,2,1,3,5,3,4,,
26,2026-02-25T05:40:36Z,202,微信,,111.162.129.231(天津-天津),71,2,3,3,2,3,1,1,1,0,0,1,0,0,0,0,1,0,2,1,1,0,1,0,5,3,3,5,5,4,4,5,3,2,3,3,4,4,3,2,4,4,5,,
27,2026-02-25T05:42:15Z,258,微信,,180.213.88.224(天津-天津),61,2,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,5,1,1,1,0,0,3,4,4,3,2,4,3,3,3,4,4,2,3,5,3,3,2,3,3,,
28,2026-02-25T05:42:44Z,197,微信,,111.162.220.219(天津-天津),80,2,2,1,5,1,2,2,1,1,1,0,1,0,0,0,0,1,3,1,1,0,0,0,4,5,5,3,4,2,3,5,4,4,5,5,4,5,5,3,4,5,5,要是能在扶手上印点大字的健康标语也不错，提醒咱们注意身体。,安装师傅能不能耐心解答我们的疑问，比如扶手能用多久、坏了怎么修，我们问得多也别嫌烦。
29,2026-02-25T05:43:21Z,320,微信,,106.47.203.12(天津-天津),82,2,1,1,5,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,4,4,3,4,5,4,5,4,4,5,4,4,4,4,4,5,5,5,5,,
30,2026-02-25T05:43:54Z,233,微信,,218.68.159.231(天津-天津),59,2,2,1,3,1,2,2,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,3,3,2,2,5,3,4,4,4,4,4,5,1,2,2,2,3,3,3,,
31,2026-02-25T05:45:32Z,291,微信,,116.130.34.73(天津-天津),65,2,1,1,3,1,2,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,4,3,2,3,3,4,2,2,4,5,4,3,4,4,4,3,4,4,3,希望扶手能设计得再长点儿，有些地方空间大，短的扶手够不着，长的用起来才踏实。,我们腿脚不利索，出门买都不方便，要是能上门安装就太省心了，多交点安装费都。
32,2026-02-25T05:47:04Z,227,微信,,111.162.220.219(天津-天津),79,1,1,1,3,1,2,2,1,1,1,1,0,0,0,1,0,0,4,1,1,1,1,0,5,5,3,5,2,2,4,4,5,4,4,5,4,5,5,4,5,4,4,建议材质选那种不退色的，太阳晒几年还是新的。,能不能简化扶手安装的审批手续，尤其是老房子，不用找多个部门签字，耽误时间。
33,2026-02-25T05:49:14Z,348,微信,,60.27.177.236(天津-天津),74,2,3,3,6,2,2,2,1,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,2,3,4,2,5,4,4,4,4,4,5,3,5,4,5,5,3,5,3,公共场所扶手应定期消毒，材质得支持酒精擦拭不变色。,
34,2026-02-25T05:49:46Z,248,微信,,111.30.124.221(天津-天津),54,1,1,1,5,1,2,1,1,0,1,0,0,0,0,1,0,0,2,1,0,1,0,0,4,5,5,3,2,2,3,3,1,2,3,2,3,1,2,2,4,4,3,,
35,2026-02-25T05:50:29Z,355,微信,,116.130.34.73(天津-天津),53,2,3,2,2,2,1,2,1,0,1,0,1,0,0,1,0,0,5,1,0,1,0,1,4,4,3,4,4,2,3,2,2,3,3,1,4,2,3,3,3,2,1,最好能有防滑纹，但又不刮手那种。,希望政府给点补贴，好点的扶手不便宜，我们退休金有限。
36,2026-02-25T05:50:51Z,225,微信,,117.11.153.100(天津-天津),61,1,4,2,3,3,2,2,1,0,1,1,1,0,1,0,0,0,3,1,0,1,0,0,4,4,5,3,3,2,3,3,3,4,3,4,2,2,3,3,3,4,3,我觉得现在很多扶手太硬了，能不能加点软硅胶？,希望政府能出台政策，让新建小区在设计的时候就预留扶手安装位置，不用后期再打孔破坏墙面。
37,2026-02-25T05:51:23Z,214,微信,,218.68.105.61(天津-天津),68,2,4,2,2,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,5,4,5,3,3,3,2,2,4,5,5,5,1,1,4,3,4,5,4,,
38,2026-02-25T05:51:32Z,248,微信,,111.31.176.126(天津-天津),84,1,4,2,3,2,1,2,1,0,0,1,0,0,0,1,0,0,3,1,1,0,0,0,4,4,4,5,4,5,4,5,5,5,4,5,5,4,3,4,5,5,4,,
39,2026-02-25T05:51:47Z,295,微信,,111.31.168.172(天津-天津),83,2,3,2,2,3,1,2,1,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,4,5,5,5,5,4,4,4,5,4,5,4,3,5,4,2,5,5,5,,
40,2026-02-25T05:52:03Z,207,微信,,111.33.254.48(天津-天津),71,2,2,2,1,2,1,2,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,4,4,5,3,4,5,5,4,2,2,1,2,5,4,5,4,4,4,4,,
41,2026-02-25T05:52:52Z,197,微信,,111.33.232.185(天津-天津),77,2,2,2,5,2,1,2,1,0,1,1,0,0,0,1,0,0,2,1,0,0,1,0,4,4,4,5,5,5,5,4,3,2,4,4,3,5,4,2,4,5,5,,
42,2026-02-25T05:53:21Z,306,微信,,111.32.106.230(天津-天津),85,2,1,2,5,1,1,2,1,0,1,0,1,0,1,0,0,0,3,1,1,1,1,0,5,4,5,5,4,5,4,4,4,5,5,4,4,5,4,4,5,4,5,我觉得颜色最好选那种耐脏的，灰色或者米黄色就不错。,希望能给独居、空巢老人免费提供扶手维护服务，他们自己没法检查，也没人帮忙。
43,2026-02-25T05:53:57Z,227,微信,,111.162.129.231(天津-天津),62,1,2,3,1,3,2,1,1,1,0,1,1,0,1,0,0,0,5,1,1,1,1,0,3,2,4,2,4,4,4,5,4,4,3,3,2,3,5,4,2,1,3,,
44,2026-02-25T05:54:17Z,319,微信,,111.32.84.227(天津-天津),69,2,3,2,2,3,1,2,1,0,1,0,0,1,0,0,0,0,2,1,0,1,0,0,5,5,3,4,3,5,5,4,2,2,2,3,4,4,4,3,3,4,4,材质要结实，还不能太笨重，铝合金那种就挺好。,政府能不能多投入点儿钱，在老旧小区多装点防跌倒扶手，这些小区老人多，更需要这个。社区就负责统计统计哪些地方需要装，跟政府反映反映。
45,2026-02-25T05:55:07Z,355,微信,,111.33.215.225(天津-天津),79,2,2,2,1,1,1,1,1,0,0,0,1,0,0,1,0,0,4,0,1,0,1,0,5,5,5,5,4,4,3,5,4,4,4,5,4,4,3,4,4,4,3,边缘一定要圆滑，家里有老人眼神差，容易磕碰。,我希望社区能组织志愿者，帮着那些行动不便的老人安装防跌倒扶手，这样老人也省事儿。政府呢，给志愿者点奖励啥的，鼓励他们多做好事。
46,2026-02-25T05:55:33Z,250,微信,,111.33.254.48(天津-天津),68,2,2,2,4,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,4,5,4,3,2,4,3,3,5,3,4,4,4,3,3,3,3,4,4,,
47,2026-02-25T05:55:36Z,289,微信,,111.162.129.231(天津-天津),81,1,3,3,3,4,2,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,5,5,4,4,5,4,4,4,4,4,4,5,5,2,4,4,4,5,5,,
48,2026-02-25T05:55:52Z,189,微信,,117.10.220.148(天津-天津),62,1,3,2,2,1,1,1,1,0,1,1,0,0,1,0,0,0,5,1,0,1,0,0,4,4,5,3,2,1,1,2,2,2,2,4,4,5,5,4,4,3,5,建议高度能调节，家里人都身高不一样，固定的高度用着不顺手。,别光装不问，用几个月后回访效果。
49,2026-02-25T05:56:19Z,312,微信,,101.39.17.217(北京-北京),75,2,2,1,3,1,2,2,1,0,1,1,0,0,1,0,0,0,3,1,1,0,1,0,5,4,4,4,4,4,4,4,4,4,5,5,1,4,2,3,5,4,5,,
50,2026-02-25T05:56:46Z,352,微信,,111.30.199.100(天津-天津),83,2,3,2,5,1,1,1,1,1,1,1,0,0,1,0,0,0,2,1,1,0,1,0,4,4,4,4,4,5,5,4,4,5,5,4,5,4,5,5,4,4,4,扶手转角处加个防撞垫，万一头磕上去能缓冲。,
51,2026-02-25T05:57:55Z,331,微信,,60.25.12.203(天津-天津),58,1,3,2,2,1,2,2,1,1,0,0,0,0,0,1,0,0,5,0,0,0,1,0,3,4,4,2,3,4,4,4,4,2,3,3,2,2,1,3,3,3,4,要是能有个防滑涂层，时间久了掉了还能补喷就好了。,公共区域的扶手能不能装得高一点，避免小孩碰到，也方便我们老人站立时扶着。
52,2026-02-25T05:58:23Z,235,微信,,42.122.45.254(天津-天津),64,2,3,2,5,1,2,1,1,1,1,0,0,0,0,1,0,0,2,0,1,1,0,0,5,3,5,4,2,2,3,2,5,4,5,4,2,2,2,2,4,3,5,希望扶手能有点弹性缓冲，摔倒时能减点力。,希望街道办牵头，统一采购质量好的，别让我们自己瞎买。
53,2026-02-25T05:59:00Z,234,微信,,125.36.179.90(天津-天津),82,1,1,1,3,2,2,1,1,0,1,1,1,0,1,0,0,0,5,1,0,0,0,0,3,5,5,4,5,3,5,4,5,5,5,4,5,4,3,4,5,4,4,,
54,2026-02-25T05:59:31Z,216,微信,,125.36.179.90(天津-天津),68,2,2,1,1,1,1,2,1,1,1,0,0,1,0,0,0,0,2,1,0,0,0,0,3,3,4,4,3,3,4,3,4,3,3,5,4,3,4,4,4,3,4,要是能有个小篮子挂在下面就更好了，洗澡时候放换洗衣服。,希望社区能提供免费的扶手维修服务，小毛病别让我们再花钱找师傅，能省一点是一点。
55,2026-02-25T05:59:43Z,311,微信,,116.78.81.232(天津-天津),65,1,2,1,3,1,1,2,1,0,0,0,0,0,1,0,0,0,5,1,1,1,0,0,5,5,4,3,4,5,5,5,4,3,3,3,1,1,1,1,4,4,4,,
56,2026-02-25T06:00:21Z,209,微信,,111.30.194.2(天津-天津),71,1,2,2,5,1,1,2,1,1,0,1,0,0,0,1,0,0,2,1,0,0,1,0,3,3,3,3,3,4,2,2,5,5,5,4,5,2,4,4,5,4,5,别光考虑功能，手感也很重要，摸着舒服才愿意用。,
57,2026-02-25T06:01:10Z,343,微信,,103.63.155.54(辽宁-沈阳),67,2,1,1,2,1,1,2,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,4,5,4,4,4,4,4,4,2,2,1,2,4,4,4,3,3,4,5,最好能自带水平仪，装的时候直接看平不平。,安装时间灵活点，别都在上班时间，我们白天在家。
58,2026-02-25T06:01:34Z,334,微信,,115.187.0.146(辽宁-沈阳),61,2,3,2,1,2,1,2,1,1,1,0,0,0,0,1,0,0,2,1,0,1,1,0,4,3,3,4,3,5,4,3,3,3,1,4,2,2,3,3,3,4,4,最好是那种能承重两百斤以上的，胖点的人也能用。,能不能出个抖音号？发些安装案例和使用技巧。
59,2026-02-25T06:02:19Z,242,微信,,111.30.195.185(天津-天津),75,1,2,2,2,1,2,2,1,1,1,1,0,0,0,1,0,0,3,0,1,0,1,0,3,4,3,4,5,5,5,5,4,5,5,5,3,4,3,2,3,4,3,希望能抗冲击，不小心撞一下也不会坏。,材料得耐用，别装半年就生锈，白花钱。
60,2026-02-25T06:02:23Z,276,微信,,111.161.190.138(天津-天津),58,2,2,1,1,1,1,2,1,1,1,0,0,0,1,0,0,0,2,1,0,0,0,0,2,4,2,4,3,3,3,4,4,4,4,3,3,3,2,2,3,2,3,材质别用反光的，晃眼睛，特别是浴室灯一照，刺得很。,
61,2026-02-25T06:02:27Z,284,微信,,117.10.148.4(天津-天津),82,1,3,1,2,2,1,2,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,4,4,5,4,4,4,3,3,4,4,4,5,5,4,5,5,5,5,5,,
62,2026-02-25T06:02:49Z,268,微信,,180.213.95.106(天津-天津),74,1,4,1,1,1,2,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,5,4,5,4,4,5,4,4,4,4,4,3,2,3,3,3,4,4,5,表面容易清洁，湿布一擦就干净。,能不能出个视频教程？子女不在身边也能照着学。
63,2026-02-25T06:03:40Z,374,微信,,36.106.54.115(天津-天津),75,2,3,2,5,2,1,2,1,1,0,1,0,0,0,0,1,0,4,0,1,1,1,0,5,5,5,4,4,3,4,2,5,4,4,3,4,5,4,4,3,4,3,,
64,2026-02-25T06:03:48Z,298,微信,,101.39.24.233(北京-北京),69,1,3,2,2,2,1,2,0,0,1,0,0,0,0,0,1,0,3,0,1,0,0,0,5,4,4,4,3,3,3,5,4,4,4,4,3,2,4,4,3,3,3,,
65,2026-02-25T06:04:51Z,355,微信,,111.167.206.85(天津-天津),77,1,1,1,2,2,2,2,0,0,1,0,0,0,0,1,0,0,3,1,1,0,0,0,3,3,2,4,5,5,4,4,4,4,5,5,2,4,5,4,5,5,4,扶手别太凉，加个隔热层，冬天用着不哆嗦。,
66,2026-02-25T06:04:52Z,247,微信,,111.30.194.2(天津-天津),81,1,2,1,6,1,1,1,1,0,1,1,1,0,1,0,0,0,3,1,1,0,0,0,4,4,5,5,5,5,4,5,4,4,5,5,4,4,4,2,3,5,4,,
67,2026-02-25T06:05:29Z,202,微信,,111.31.147.186(天津-天津),61,2,3,2,2,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,4,4,4,4,4,4,5,4,5,4,4,5,1,1,2,2,2,1,1,,
68,2026-02-25T06:06:18Z,331,微信,,103.63.154.226(辽宁-沈阳),65,1,1,1,4,1,1,2,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,4,5,5,3,4,4,3,4,3,3,3,3,2,1,2,2,4,5,5,,
69,2026-02-25T06:06:23Z,75,微信,,111.32.59.252(天津-天津),57,1,4,2,4,3,2,1,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,1,5,2,2,5,5,2,1,2,5,3,4,1,2,3,2,3,4,4,2,,
70,2026-02-25T06:06:27Z,259,微信,,60.24.211.205(天津-天津),53,2,3,1,5,1,2,2,1,0,1,1,0,0,1,0,0,0,2,1,0,0,0,0,2,5,3,5,1,2,2,2,3,4,3,3,1,2,2,4,3,3,3,,
71,2026-02-25T06:07:02Z,324,微信,,111.33.246.71(天津-天津),70,2,3,1,3,2,2,2,1,0,1,1,0,0,0,0,0,1,2,1,1,1,1,0,4,4,4,4,4,3,4,3,3,3,3,3,2,4,4,5,5,3,5,最好能带个夜灯，晚上起夜黑灯瞎火的，摸着扶手还能看见路。,希望街道定期检查公共区域扶手，松了及时修。
72,2026-02-25T06:07:45Z,263,微信,,101.39.12.114(北京-北京),76,2,2,1,3,2,2,2,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,5,5,4,4,5,5,5,4,5,4,3,3,2,3,2,5,4,4,4,建议做成可折叠的，不用时能收起来，不占地方，尤其小卫生间特别需要。,能不能出个家庭自检表？对照看看缺不缺扶手。
73,2026-02-25T06:07:53Z,292,微信,,116.78.51.117(天津-天津),75,2,1,1,3,1,1,2,1,1,1,1,0,0,0,0,0,1,5,1,1,1,0,0,5,5,5,5,3,4,4,4,3,4,5,5,2,3,1,2,5,5,5,夜里最好有点微光提示，不用摸黑找。,政府能不能在公共场所的防跌倒扶手旁边设置些休息的座椅，老人累了能坐会儿。社区就负责看看这些座椅安得合不合理。
74,2026-02-25T06:08:12Z,296,微信,,111.31.32.35(天津-天津),58,2,1,2,6,1,2,2,1,1,1,1,0,0,0,1,0,0,2,0,0,1,1,0,2,3,2,4,4,2,4,5,3,3,3,2,3,2,2,3,4,3,4,,
75,2026-02-25T06:08:28Z,213,微信,,103.63.154.227(辽宁-沈阳),73,2,1,1,1,2,2,2,1,1,1,0,0,0,1,0,0,0,3,1,0,0,0,0,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,3,4,,
76,2026-02-25T06:08:38Z,190,微信,,111.32.92.222(天津-天津),65,2,1,1,3,2,2,2,1,1,1,0,1,0,0,0,0,1,2,1,1,0,0,0,5,4,3,4,4,3,4,5,3,4,4,3,3,3,2,2,3,3,3,,
77,2026-02-25T06:09:21Z,295,微信,,221.197.85.157(天津-天津),60,1,1,1,2,1,2,2,1,1,1,0,0,1,0,0,0,0,2,1,1,0,1,0,5,5,5,4,1,3,2,1,3,5,1,3,4,3,1,2,3,5,4,现在的扶手一沾水就滑，洗澡时根本不敢靠，得用防潮防滑的材质。,最重要的是——别走过场，真真正正为我们老人安全着想。
78,2026-02-25T06:09:29Z,311,微信,,111.30.245.201(天津-天津),85,1,1,1,6,1,2,2,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,5,5,5,5,2,2,3,4,5,5,5,5,5,4,5,5,5,5,5,,
79,2026-02-25T06:10:06Z,250,微信,,111.33.250.41(天津-天津),79,2,1,1,5,1,1,2,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,5,4,5,5,5,4,4,3,5,3,5,3,3,4,4,5,4,4,4,,
80,2026-02-25T06:10:25Z,296,微信,,111.162.220.219(天津-天津),65,2,4,3,2,1,1,2,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,3,4,4,4,3,3,3,4,5,4,4,5,3,2,3,2,4,3,2,那个吸盘式的，说实话不太敢用，总怕它哪天吸不住掉下来，还是打孔固定的稳当。,每次装扶手都得自己找人，也不认识谁专业，社区能不能有个服务队专门干这个？
81,2026-02-25T06:10:55Z,288,微信,,103.63.155.24(辽宁-沈阳),73,1,3,2,2,1,2,2,1,0,1,1,1,0,0,1,0,0,5,1,1,1,0,0,3,2,4,5,5,4,5,4,4,2,3,2,4,4,4,4,5,5,4,,
82,2026-02-25T06:11:26Z,298,微信,,180.213.208.26(天津-天津),83,2,3,2,2,3,1,1,1,0,1,1,0,0,0,0,1,0,2,1,0,0,0,0,5,5,5,5,5,5,5,5,4,5,3,4,4,4,4,3,5,4,3,,
83,2026-02-25T06:11:41Z,347,微信,,103.63.154.227(辽宁-沈阳),69,1,2,1,1,2,1,2,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,4,4,4,5,2,4,4,3,3,4,4,5,4,3,2,4,2,4,4,,
84,2026-02-25T06:12:22Z,328,微信,,111.161.190.138(天津-天津),81,2,2,1,1,2,1,2,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,5,4,3,4,3,5,4,4,4,3,3,5,4,5,5,5,5,5,5,,
85,2026-02-25T06:12:32Z,305,微信,,111.32.83.208(天津-天津),55,2,1,1,1,1,1,2,1,1,0,1,0,0,0,1,0,0,2,1,0,0,0,0,3,3,3,5,4,2,3,4,1,2,1,2,2,4,3,3,2,4,4,材质要耐刮，指甲一划全是痕，看着旧。,
