序号_E,提交时间_E,答题时长_E,问卷来源_E,来源详情_E,问卷总分_E,性别_1_1_E,年龄_1_2_E,健康状况_1_3_E,居住行政区_1_4_E,养老居住场景_1_5_E,居家跌倒经历_1_6_E,已装扶手_1_7_E,扶手安装场景_卫生间_2_1_1_E,扶手安装场景_床边_2_1_2_E,扶手安装场景_楼道_2_1_3_E,扶手安装场景_阳台_2_1_4_E,扶手安装场景_其他_2_1_5_E,扶手偏好类型_基础不锈钢_2_2_1_E,可接受价格_2_3_E,补贴期望_提高力度_2_4_1_E,补贴期望_简化流程_2_4_2_E,补贴期望_差异化补贴_2_4_3_E,补贴期望_社区代办_2_4_4_E,补贴期望_其他_2_4_5_E,风险收益_3_1_1_E,风险收益_3_1_2_E,风险收益_3_1_3_E,风险收益_3_1_4_E,社会支持_3_2_1_E,社会支持_3_2_2_E,社会支持_3_2_3_E,社会支持_3_2_4_E,政策适配_3_3_1_E,政策适配_3_3_2_E,政策适配_3_3_3_E,政策适配_3_3_4_E,生活依赖_3_4_1_E,生活依赖_3_4_2_E,生活依赖_3_4_3_E,生活依赖_3_4_4_E,使用意愿_3_5_1_E,使用意愿_3_5_2_E,使用意愿_3_5_3_E,产品设计改进建议_4_1_E,政府社区支持建议_4_2_E
24,2026-02-23T08:10:24Z,344,微信,,52,2,3,3,2,2,1,2,1,1,0,1,0,5,4,1,1,0,1,0,1,3,2,3,4,3,3,1,2,1,4,2,3,3,3,3,3,4,4,,
25,2026-02-23T08:11:44Z,300,微信,,64,2,3,2,2,1,1,2,1,0,1,1,0,2,3,1,0,1,0,0,4,5,5,4,4,5,4,3,3,3,1,4,2,2,3,2,4,3,3,,
26,2026-02-23T08:13:18Z,296,微信,,64,1,1,1,3,2,1,2,0,0,1,0,1,2,2,1,0,0,1,1,4,5,4,5,2,3,4,4,4,4,3,2,2,2,2,2,4,4,4,,
27,2026-02-23T08:15:37Z,261,微信,,76,2,4,1,4,2,1,2,1,0,1,0,1,3,4,1,1,1,0,0,4,4,3,5,5,5,5,5,3,3,4,2,4,4,4,4,3,4,5,擦洗时怕进水坏电路，纯机械的最可靠，电子功能反而添乱。,老楼没预留位置，政府该出技术方案，比如用免打孔或地面支撑式。
28,2026-02-23T08:15:59Z,246,微信,,72,2,2,1,6,1,1,2,1,1,1,0,1,3,2,0,1,0,0,0,5,4,5,5,4,3,5,3,4,3,4,3,3,4,3,4,3,4,3,,
29,2026-02-23T08:17:22Z,317,微信,,81,2,2,1,3,2,2,2,1,0,1,1,1,3,2,1,1,0,0,0,4,4,5,5,4,3,5,4,4,3,4,3,5,4,4,5,5,5,5,,
30,2026-02-23T08:18:21Z,190,微信,,58,2,3,3,4,3,1,1,1,0,1,0,0,3,2,1,0,0,0,0,4,4,2,4,2,3,3,4,5,4,4,4,3,3,1,2,2,2,2,,
31,2026-02-23T08:18:38Z,281,微信,,71,1,2,1,1,1,1,2,1,0,1,0,0,1,3,1,0,0,0,0,4,4,1,4,3,3,2,4,4,4,5,3,4,5,5,4,4,4,4,,
32,2026-02-23T08:19:25Z,319,微信,,77,2,2,1,6,2,2,2,1,0,1,1,0,1,2,1,1,1,1,0,3,3,5,3,3,4,5,4,4,4,4,4,5,4,5,5,4,5,3,,
33,2026-02-23T08:20:20Z,313,微信,,74,2,3,3,2,4,2,1,1,0,1,1,0,3,3,0,1,0,0,0,5,5,4,4,3,3,1,2,5,4,4,5,5,5,4,4,3,5,3,潮湿地方容易生锈，换成塑料或者铝合金会不会好点？,别搞“一刀切”，有人需要马桶旁的，有人要淋浴间的，得按需配置。
34,2026-02-23T08:21:05Z,228,微信,,54,2,3,1,2,1,2,1,1,0,0,0,0,1,2,1,1,0,0,0,3,3,3,3,5,4,4,3,1,1,1,2,3,3,2,3,3,4,3,,
35,2026-02-23T08:21:47Z,325,微信,,64,1,2,1,1,2,2,1,1,1,1,1,0,3,4,0,1,1,1,0,4,3,4,4,4,4,4,3,4,4,4,4,2,4,4,2,2,2,2,,
36,2026-02-23T08:24:09Z,325,微信,,59,1,3,2,2,2,1,1,0,0,1,0,0,5,1,1,1,0,0,0,3,2,2,3,5,5,5,4,3,2,3,4,3,1,2,3,3,3,3,,
37,2026-02-23T08:25:22Z,274,微信,,70,2,3,2,2,2,1,2,1,0,1,1,0,3,5,0,1,0,0,0,3,2,2,2,5,5,5,5,5,3,4,5,3,3,3,2,5,4,4,,
38,2026-02-23T08:25:35Z,203,微信,,83,1,3,2,1,3,1,2,1,0,0,0,1,2,1,1,0,1,0,0,4,4,5,3,5,5,5,5,4,5,5,4,5,3,2,5,4,5,5,有的扶手转角太尖，胳膊肘撞上去疼得很，边边角角都该圆润些。,楼道公共区域也该装几个，不光家里，出门第一步就容易摔。
39,2026-02-23T08:27:10Z,247,微信,,76,2,3,2,6,1,1,2,1,0,1,0,0,2,1,0,1,0,0,0,5,4,4,4,4,4,3,3,3,5,5,4,3,3,4,5,4,5,4,,
40,2026-02-23T08:28:43Z,297,微信,,64,2,2,1,1,1,1,2,0,0,1,1,0,5,4,1,0,0,0,0,4,5,5,5,1,3,3,2,2,1,2,4,4,4,4,2,4,5,4,材质摸着别像医院器械，冷冰冰的，加点暖色调让人愿意用。,别只关注硬件，同步教防跌倒操、平衡训练，软硬结合才有效。
41,2026-02-23T08:28:54Z,310,微信,,70,1,3,2,3,1,2,1,1,0,0,0,0,3,3,0,0,0,0,1,4,5,4,5,2,4,4,3,4,4,4,4,3,3,3,1,4,5,4,,
42,2026-02-23T08:30:53Z,273,微信,,81,1,2,1,1,1,1,1,1,0,0,1,1,3,2,1,1,0,0,1,5,4,5,5,4,4,4,4,3,5,3,3,3,5,5,5,4,5,5,扶手长度太短，转身时够不着下一段，连成L形或者U形更稳妥。,宣传册印大字版，配上图，字比米粒还小谁看得清？
43,2026-02-23T08:31:24Z,239,微信,,60,2,2,3,4,2,1,2,1,1,0,1,1,3,2,0,1,1,1,1,4,4,3,5,3,2,2,3,4,4,5,4,2,1,4,2,3,2,3,,
44,2026-02-23T08:32:15Z,271,微信,,70,2,4,2,3,2,1,1,1,1,1,1,0,2,1,0,1,0,0,1,4,4,5,5,5,5,3,4,3,1,1,2,4,3,5,3,4,5,4,,
45,2026-02-23T08:34:43Z,351,微信,,82,1,2,1,2,1,1,2,1,1,0,0,1,1,1,0,0,1,0,1,4,5,5,4,5,5,4,5,4,3,5,5,4,3,5,4,3,4,5,希望价格别太贵，退休金就那么多，百来块还能接受，上千真舍不得。,社区活动室放个体验角，让我们亲手试试不同款式再决定。
46,2026-02-23T08:36:23Z,250,微信,,67,1,1,1,2,1,1,2,1,0,1,1,0,3,3,1,1,0,1,0,4,4,4,4,2,4,3,5,4,4,3,2,5,3,3,4,4,2,3,,
47,2026-02-23T08:37:47Z,198,微信,,86,1,4,1,5,1,1,2,1,0,1,1,0,3,4,0,1,1,0,0,5,4,4,5,4,5,5,4,5,5,5,4,4,4,5,5,4,4,5,,
48,2026-02-23T08:38:30Z,287,微信,,62,2,1,1,1,2,1,1,1,0,1,0,0,3,3,1,0,0,1,0,4,3,3,2,4,4,4,4,3,1,1,2,4,4,4,4,3,4,4,,
49,2026-02-23T08:38:36Z,309,微信,,83,1,1,1,3,2,1,2,1,0,1,0,0,3,1,1,1,0,0,0,5,5,5,5,4,4,4,4,5,5,4,4,4,3,4,4,5,4,5,,
50,2026-02-23T08:39:29Z,228,微信,,85,2,2,2,6,2,1,2,1,0,1,0,1,5,1,0,0,1,0,0,5,4,5,4,4,5,4,3,5,4,5,5,5,4,5,4,4,5,5,别整那些花里胡哨的造型，实用最重要，我们不图好看，就图安全。,公共浴室、公厕的扶手经常坏，政府该设专项维护基金。
51,2026-02-23T08:39:38Z,233,微信,,65,2,2,1,3,2,1,2,1,0,0,1,0,5,2,0,0,1,0,0,3,4,3,4,5,5,2,4,3,3,3,4,3,4,2,3,4,3,3,,
52,2026-02-23T08:41:21Z,200,微信,,58,1,2,1,5,2,1,2,1,0,1,1,0,3,2,0,0,0,1,0,2,2,1,3,4,4,3,3,2,4,2,4,4,3,4,3,4,4,2,,
53,2026-02-23T08:41:48Z,349,微信,,81,1,1,1,5,1,1,2,1,0,1,0,0,2,3,0,1,0,0,0,5,4,5,4,5,5,4,5,5,3,4,3,5,5,4,4,3,4,4,,
54,2026-02-23T08:44:20Z,279,微信,,74,2,2,1,1,1,1,1,1,1,1,1,0,3,3,0,0,0,1,0,4,5,5,4,3,3,4,3,5,4,3,4,3,3,4,4,4,4,5,,
55,2026-02-23T08:45:31Z,252,微信,,70,2,2,1,6,1,1,2,1,0,1,1,0,3,2,1,0,1,0,0,3,5,4,5,5,4,5,5,5,5,4,4,1,2,2,1,4,3,3,扶手太滑了，尤其手上有汗或者沾水的时候，能不能用那种带点磨砂感的材料？,社区能不能组织人上门看看，帮我们量身定做装哪儿合适？
56,2026-02-23T08:47:37Z,230,微信,,75,1,2,1,4,1,1,1,1,0,1,0,1,3,1,1,0,0,0,0,3,5,3,2,4,5,4,4,4,4,5,5,4,2,4,4,4,4,5,,
57,2026-02-23T08:47:51Z,235,微信,,69,1,4,2,2,4,2,1,1,0,1,1,0,1,1,1,0,0,0,0,5,4,3,4,3,3,4,4,2,3,3,3,5,4,3,4,5,4,3,,
58,2026-02-23T08:48:02Z,252,微信,,67,2,1,1,1,1,2,1,1,0,1,0,1,2,2,1,1,1,0,0,5,4,5,5,3,5,4,4,4,3,3,3,2,1,2,2,4,4,4,,
59,2026-02-23T08:48:41Z,313,微信,,74,1,2,1,5,2,1,2,1,0,0,1,0,1,1,1,1,1,1,0,4,4,5,5,3,5,4,2,5,4,5,4,4,3,2,3,5,3,4,扶手两端别是平的，容易戳衣服，做成球头或者弯钩更顺手。,补贴别拖半年才到账，装的时候就要能抵扣，不然拿不出现金。
60,2026-02-23T08:50:21Z,309,微信,,55,2,2,2,5,4,1,2,1,0,1,0,0,2,1,1,1,1,0,1,3,3,3,5,3,2,4,2,5,1,2,3,2,4,4,2,2,2,3,,
61,2026-02-23T08:50:52Z,222,微信,,83,2,1,1,2,2,2,1,1,1,1,1,0,2,2,1,1,0,0,0,4,4,4,5,4,4,5,4,5,3,5,5,5,4,5,5,4,4,4,清洁起来麻烦，缝隙藏灰还发霉，最好是一体成型、没死角的那种。,别等摔倒了才想起扶手，定期上门排查高龄独居老人的需求更实在。
62,2026-02-23T08:52:06Z,334,微信,,81,2,2,2,3,4,1,2,1,0,1,0,0,5,1,1,1,0,0,0,4,5,5,5,5,5,5,5,3,3,3,4,4,5,4,4,4,5,3,,
63,2026-02-23T08:52:24Z,188,微信,,73,2,1,1,1,1,2,2,1,0,1,1,0,3,1,0,1,0,0,1,5,4,3,2,4,4,4,3,3,5,4,4,5,5,4,5,2,4,3,装的时候打孔太深，瓷砖都裂了，能不能有免打孔的？吸盘也行啊。,补贴申请流程太复杂，要盖五个章，简化成居委会一句话证明行不行？
64,2026-02-23T08:53:25Z,188,微信,,73,2,2,2,6,1,1,2,1,1,1,0,0,3,2,0,0,1,0,0,5,4,5,5,4,4,2,4,3,4,3,5,2,3,4,5,4,3,4,,
65,2026-02-23T08:54:34Z,197,微信,,84,1,2,1,3,1,1,1,1,0,0,0,0,3,2,0,0,0,0,1,4,4,5,4,4,4,5,5,4,5,5,5,5,4,5,3,5,4,4,冬天摸金属像摸冰块，夏天又烫手，温感材料有没有可能？,扶手不是装完就完事，得教我们怎么清洁、保养，延长使用寿命。
66,2026-02-23T08:55:24Z,190,微信,,68,1,3,2,5,4,2,1,1,1,1,0,0,2,2,0,0,0,1,0,4,5,5,4,3,3,2,2,5,5,4,5,2,2,2,2,4,5,4,希望能轻一点，搬动时不费劲，现在这个铁疙瘩沉得要命。,我们不懂什么材质承重，社区开个讲座，请专家现场演示哪种最牢靠。
67,2026-02-23T08:55:41Z,270,微信,,64,1,1,1,3,2,2,2,1,1,1,1,0,5,2,1,0,0,1,1,4,4,4,4,4,5,4,4,4,4,3,4,3,2,2,2,2,3,2,,
68,2026-02-23T08:55:55Z,193,微信,,57,2,3,2,1,1,1,2,1,0,1,1,1,1,1,0,0,1,0,0,5,4,2,2,4,2,5,2,4,2,3,3,2,1,1,2,4,5,4,扶手表面容易留指纹和水渍，擦都擦不干净，材质选耐脏的吧。,农村老人也得照顾到，别光盯着城里小区，乡镇卫生院门口也该有。
69,2026-02-23T08:56:57Z,283,微信,,57,2,1,1,6,1,2,2,1,0,0,1,1,2,2,1,1,1,0,0,2,3,2,3,3,4,3,4,4,4,4,4,3,3,3,4,1,1,2,,
70,2026-02-23T08:58:02Z,310,微信,,66,2,1,1,2,2,1,1,1,0,1,0,0,3,2,1,1,0,0,0,4,4,4,4,4,4,3,3,3,4,3,2,3,2,4,3,4,4,4,,
71,2026-02-23T08:58:13Z,291,微信,,76,1,1,1,5,1,2,2,1,0,1,0,0,3,4,0,1,1,0,0,5,5,4,4,4,5,4,4,5,5,5,4,3,2,2,2,5,4,4,别光想着墙上装，马桶旁边地上也能放个可移动的，我们腿脚不利索的人需要多点支撑。,扶手坏了找谁修？打了一圈电话都没人管，得有个售后热线啊。
72,2026-02-23T08:59:14Z,276,微信,,70,1,1,1,1,1,1,1,1,0,1,1,0,2,4,1,0,0,1,1,4,2,4,3,5,4,5,4,4,3,4,3,2,3,2,4,5,5,4,,
73,2026-02-23T09:00:32Z,325,微信,,64,2,1,1,4,1,1,1,0,1,1,0,0,5,2,0,0,1,0,0,5,4,4,4,3,3,3,4,4,3,3,4,4,3,2,3,3,3,2,,
74,2026-02-23T09:00:51Z,283,微信,,59,1,2,1,1,2,2,1,1,0,1,0,0,1,2,1,0,0,0,1,3,3,3,2,3,4,4,4,3,3,3,3,4,3,2,3,4,2,3,,
75,2026-02-23T09:01:41Z,254,微信,,67,1,2,1,2,1,1,2,1,0,0,1,0,3,3,1,0,0,0,0,4,4,4,4,3,3,5,4,4,5,5,4,2,3,1,2,3,4,3,,
76,2026-02-23T09:01:53Z,228,微信,,64,1,3,3,4,2,1,1,1,0,1,0,1,3,2,1,0,1,0,0,2,3,2,3,3,4,3,4,4,3,3,3,4,4,4,4,3,4,4,,
77,2026-02-23T09:02:06Z,187,微信,,85,1,2,1,6,1,1,2,1,0,1,0,0,1,2,1,1,0,1,0,3,3,4,4,5,5,5,5,4,4,5,4,5,5,5,5,4,5,5,,
78,2026-02-23T09:03:31Z,346,微信,,77,2,2,1,6,1,1,2,1,0,1,0,0,3,3,0,1,0,0,1,5,5,4,4,5,4,5,4,2,3,3,3,4,4,4,4,5,4,5,,
79,2026-02-23T09:03:52Z,313,微信,,65,1,2,2,1,2,1,1,1,1,1,1,0,5,3,0,0,0,1,0,2,4,4,1,4,3,3,3,4,4,5,4,4,2,3,3,5,3,4,有些扶手一按就缩回去，我反应慢，根本来不及抓稳，最好别搞那么复杂。,别光发传单，好多字小得看不清，来个大喇叭广播或者微信群语音通知多好。
80,2026-02-23T09:05:26Z,284,微信,,77,1,1,1,1,1,1,2,1,0,1,1,1,2,3,0,1,0,1,0,5,4,5,5,4,2,4,4,4,3,3,5,3,4,5,4,4,5,4,,
81,2026-02-23T09:05:28Z,317,微信,,80,1,4,3,1,2,1,1,1,1,0,1,0,2,4,0,0,1,0,0,5,5,5,4,4,5,5,4,4,4,5,4,3,3,4,4,4,4,4,,
82,2026-02-23T09:07:09Z,283,微信,,69,1,2,1,5,1,2,1,1,1,1,0,0,4,2,1,0,0,1,0,4,4,5,5,3,3,2,3,4,5,3,4,3,5,3,2,3,4,4,,
83,2026-02-23T09:07:39Z,316,微信,,79,1,2,1,2,1,1,2,1,0,0,0,0,1,1,0,1,1,0,0,5,3,5,4,4,5,4,3,4,4,4,3,4,4,5,4,4,5,5,,
84,2026-02-23T09:09:02Z,216,微信,,57,1,1,1,5,2,1,1,1,1,1,0,1,4,2,1,1,1,0,1,4,4,3,5,3,3,2,2,2,3,1,3,2,3,2,2,4,5,4,我老伴手抖，握不住细杆子，扶手得粗一点，最好带防滑纹路。,别把扶手当成一次性工程，每年检查松动、锈蚀，该换就换。
85,2026-02-23T09:09:45Z,345,微信,,60,2,1,1,2,1,1,2,1,0,1,0,0,5,2,1,0,0,0,0,3,3,3,3,5,4,4,4,1,1,2,2,5,4,4,4,3,3,2,安装位置千篇一律，能不能根据人高矮定制？我家老头子一米八，我一米五五，差太多了。,希望社区医院体检时顺便问一句：“家里装扶手了吗？”联动起来才有效。
86,2026-02-23T09:11:23Z,209,微信,,68,2,1,1,1,1,2,2,1,0,0,1,1,2,1,0,1,0,0,0,3,1,5,3,4,4,5,3,2,2,4,3,5,5,4,5,3,3,4,夜里起夜摸黑找扶手，急得很，要是能自己微微发光就好了。,扶手样式太单调，能不能让老人选颜色？红的黄的看着心里暖和。
87,2026-02-23T09:11:25Z,253,微信,,73,2,1,1,2,1,1,1,1,0,0,0,0,3,5,1,1,1,0,0,5,5,5,5,5,4,5,4,4,3,4,3,3,2,2,1,4,4,5,,
88,2026-02-23T09:12:00Z,255,微信,,62,2,3,2,4,1,1,1,1,1,0,1,0,2,3,1,0,0,1,1,4,4,4,5,3,3,3,3,3,1,2,3,3,3,4,3,4,4,3,有些扶手收起来就看不见了，万一摔倒连抓的地方都没有，还是固定的好。,有些子女不在身边，社区能不能代为申请安装？别让我们自己折腾。
89,2026-02-23T09:12:08Z,219,微信,,72,1,1,1,3,1,2,2,1,1,1,1,0,3,2,0,0,1,0,0,5,3,3,4,5,5,4,3,5,4,4,3,2,3,3,3,4,4,5,,
90,2026-02-23T09:13:40Z,309,微信,,75,2,1,1,3,1,1,2,1,0,1,0,0,2,1,1,1,1,1,0,4,3,4,4,5,4,4,4,3,3,3,3,5,4,5,5,4,4,4,浴室里那个金属扶手冬天摸着冰得吓人，能不能包层软胶？暖和点也防滑。,老旧小区墙皮薄，自己打孔怕塌，政府能不能派专业师傅免费安装？
91,2026-02-23T09:13:57Z,234,微信,,83,2,4,2,2,4,1,2,1,0,1,1,0,2,2,0,1,0,0,0,4,5,3,5,5,5,4,3,4,5,4,5,3,4,5,4,5,5,5,,
92,2026-02-23T09:15:24Z,335,微信,,48,2,2,1,5,2,1,1,1,0,1,1,0,2,1,1,1,0,0,0,3,2,1,2,2,5,4,4,2,2,2,2,2,1,4,4,2,2,2,按钮太多，又是加热又是照明，我记不住哪个是哪个，简单点只管扶就行。,宣传时多讲讲真实案例，比如“王阿姨装了扶手后没再摔”，比光说参数有用。
93,2026-02-23T09:15:53Z,283,微信,,77,1,1,1,1,2,1,2,1,0,1,1,1,1,1,1,0,1,0,0,4,4,5,5,4,3,5,5,5,3,3,4,4,5,3,3,4,4,4,,
94,2026-02-23T09:17:34Z,244,微信,,37,1,2,1,4,1,1,2,1,1,0,1,1,5,5,0,1,1,0,0,1,1,1,1,3,2,2,4,2,4,3,1,2,2,2,1,2,1,2,安装师傅说只能装在承重墙，可我家卫生间是非承重墙，这不就用不了？得想想别的办法。,希望纳入居家适老化改造清单，和其他项目一起打包办，省心。
95,2026-02-23T09:17:48Z,234,微信,,85,2,1,1,5,2,1,2,1,0,1,0,0,3,3,0,1,1,0,0,4,4,5,4,4,4,4,4,5,5,5,5,5,4,4,5,5,5,4,,
96,2026-02-23T09:19:32Z,296,微信,,59,1,4,2,6,2,2,1,1,0,0,0,0,3,3,1,0,0,0,1,3,3,4,3,2,2,2,4,3,3,4,2,3,3,4,4,3,3,4,,
97,2026-02-23T09:20:18Z,246,微信,,53,1,1,1,1,1,1,1,1,0,1,1,0,2,2,0,1,1,0,0,4,2,3,3,3,1,2,3,1,1,2,3,5,2,3,4,4,4,3,,
98,2026-02-23T09:21:10Z,300,微信,,89,2,4,3,3,2,1,1,1,0,1,0,1,1,1,1,0,1,0,0,5,5,5,5,4,4,4,4,5,5,5,4,5,5,5,5,4,5,5,,
99,2026-02-23T09:22:38Z,210,微信,,75,2,2,1,5,2,2,2,0,0,1,1,0,2,5,1,0,1,1,0,5,4,5,5,4,5,4,4,3,3,4,3,3,3,2,4,5,4,5,,
100,2026-02-23T09:24:02Z,333,微信,,67,2,3,3,1,1,2,2,1,0,1,0,0,1,2,1,0,0,1,0,4,4,4,3,3,4,5,5,4,4,5,5,1,2,3,2,3,2,4,,
101,2026-02-23T09:25:12Z,240,微信,,63,2,1,1,3,2,1,1,1,0,1,1,0,4,5,0,1,1,0,0,4,5,3,5,4,3,4,4,4,4,4,5,1,2,2,1,2,4,2,,
