序号_C,提交时间_C,答题时长_C,问卷来源_C,来源详情_C,IP_C,问卷总分_C,性别_1_1_C,年龄_1_2_C,与老人居住关系_1_3_C,老人年龄_1_4_C,老人健康状况_1_5_C,居住行政区_1_6_C,为老人装过扶手_1_7_C,扶手安装场景_卫生间_2_1_1_C,扶手安装场景_床边_2_1_2_C,扶手安装场景_楼道_2_1_3_C,扶手安装场景_阳台_2_1_4_C,扶手安装场景_其他_2_1_5_C,扶手偏好类型_基础不锈钢_2_2_1_C,扶手偏好类型_可折叠_2_2_2_C,扶手偏好类型_防滑_2_2_3_C,扶手偏好类型_智能预警_2_2_4_C,扶手偏好类型_其他_2_2_5_C,可接受价格_2_3_C,服务期望_免费安装_2_4_1_C,服务期望_24小时售后_2_4_2_C,服务期望_定期维护_2_4_3_C,服务期望_上门教学_2_4_4_C,服务期望_其他_2_4_5_C,照护价值_3_1_1_C,照护价值_3_1_2_C,照护价值_3_1_3_C,照护价值_3_1_4_C,代际责任_3_2_1_C,代际责任_3_2_2_C,代际责任_3_2_3_C,代际责任_3_2_4_C,决策便利_3_3_1_C,决策便利_3_3_2_C,决策便利_3_3_3_C,决策便利_3_3_4_C,资源投入_3_4_1_C,资源投入_3_4_2_C,资源投入_3_4_3_C,资源投入_3_4_4_C,认知偏差_3_5_1_C,认知偏差_3_5_2_C,认知偏差_3_5_3_C,认知偏差_3_5_4_C,购买意愿_3_6_1_C,购买意愿_3_6_2_C,购买意愿_3_6_3_C,扶手相关问题反馈_4_1_C,外部支持需求_4_2_C
18,2026-02-25T05:29:22Z,248,微信,,111.162.128.189(天津-天津),96,2,3,3,4,2,4,2,1,1,1,0,0,0,1,0,0,0,2,1,1,1,1,0,5,4,5,5,5,5,5,5,5,4,4,5,4,3,4,3,3,3,3,3,4,4,5,产品设计上，我觉得扶手应该做得更轻便易携一些，方便老人外出使用。购买渠道嘛，我觉得应该多开些实体店，让老人能亲自去挑。安装服务挺好的，师傅很细心，还帮老人调整了扶手高度。,
19,2026-02-25T05:29:40Z,217,微信,,180.212.253.12(天津-天津),66,1,2,3,2,1,5,1,1,0,1,1,0,0,0,1,0,0,4,1,0,1,0,0,2,4,4,4,1,2,2,3,1,3,1,3,3,4,4,3,1,2,1,3,5,5,5,购买时看不到产品的实际承重数据，商家只吹得好听，真不敢让老人放心用，怕出安全问题。,别光推高端款，也提供基础实惠型，满足不同经济条件。
20,2026-02-25T05:30:33Z,260,微信,,111.30.243.155(天津-天津),88,2,3,2,3,1,3,2,1,1,0,0,0,0,0,1,0,0,3,1,0,1,1,0,5,4,2,3,4,3,4,4,4,5,4,3,4,5,5,4,3,2,4,3,4,4,5,,
21,2026-02-25T05:30:53Z,298,微信,,111.30.195.185(天津-天津),85,1,1,2,2,2,3,1,1,1,1,0,0,0,0,0,0,1,3,1,1,1,1,0,3,5,5,4,3,3,2,4,4,4,4,3,3,4,2,5,3,4,4,5,4,3,4,,
22,2026-02-25T05:32:20Z,190,微信,,60.27.191.74(天津-天津),86,2,5,3,4,3,2,2,1,0,1,0,1,0,0,1,0,0,5,1,0,1,0,0,5,4,4,4,4,4,4,4,4,3,3,4,4,4,4,5,1,2,2,3,5,4,5,扶手设计得太单调了，没有创意，应该出点有特色的。购买渠道倒是挺多的，但网上买物流太慢了。安装服务还行，师傅装得挺快的，但没打扫干净现场。,
23,2026-02-25T05:32:43Z,340,微信,,117.10.62.44(天津-天津),95,2,3,2,4,1,1,1,1,0,1,0,0,0,0,1,0,0,3,1,0,0,1,0,4,5,4,3,4,4,4,5,5,5,4,4,4,3,4,4,4,4,4,3,4,5,5,,能不能出家庭套装优惠？马桶、淋浴、走廊一套配齐。
24,2026-02-25T05:33:00Z,222,微信,,36.106.126.251(天津-天津),88,1,5,3,4,1,4,1,1,0,1,1,0,1,0,0,0,0,2,1,0,0,1,0,4,3,5,2,5,5,4,5,4,3,4,5,2,2,1,3,4,5,5,5,4,4,4,,
25,2026-02-25T05:33:29Z,241,微信,,101.39.8.107(北京-北京),54,2,4,1,4,3,2,2,1,1,1,0,0,1,0,0,0,0,3,0,0,1,0,0,3,3,4,3,4,1,2,1,2,2,1,2,2,2,1,1,3,2,2,1,4,3,5,,
26,2026-02-25T05:35:11Z,211,微信,,111.33.217.5(天津-天津),85,2,2,1,2,2,2,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,4,4,4,4,4,4,5,5,3,3,4,3,5,4,4,5,2,2,2,2,2,5,5,安装收费不透明，上门后又额外加钱，说什么墙面难打、配件不够，变相乱收费。,希望政府设立专项投诉渠道，响应快、处理及时。
27,2026-02-25T05:36:01Z,208,微信,,36.106.247.122(天津-天津),73,1,1,3,3,2,4,2,1,1,1,1,0,0,0,1,0,0,2,1,0,1,1,0,2,2,3,2,5,4,4,5,1,2,3,3,2,1,2,3,4,5,4,4,4,4,4,,
28,2026-02-25T05:36:42Z,352,微信,,111.33.223.234(天津-天津),70,1,2,2,1,1,1,1,1,1,1,0,0,0,1,0,0,0,3,1,0,1,1,0,5,5,3,5,5,4,5,3,2,3,2,4,2,1,1,2,4,3,3,2,2,2,2,,
29,2026-02-25T05:37:11Z,240,微信,,60.30.37.33(天津-天津),65,1,2,2,1,1,1,2,0,0,1,0,0,1,0,0,0,0,2,1,1,1,0,0,3,2,2,3,3,2,2,2,4,3,4,4,3,3,3,4,2,3,3,3,3,1,3,,
30,2026-02-25T05:38:22Z,214,微信,,111.161.188.100(天津-天津),96,1,2,2,3,1,3,1,1,1,1,0,0,0,0,1,0,0,2,1,0,1,0,0,4,5,4,5,5,4,5,4,4,4,4,5,4,5,4,4,4,4,3,2,4,5,4,,
31,2026-02-25T05:39:19Z,313,微信,,218.68.211.222(天津-天津),94,2,2,3,3,3,3,2,1,0,0,0,1,0,1,0,0,0,4,1,0,0,1,0,4,2,3,3,5,5,5,5,5,3,4,3,5,3,4,4,5,4,4,5,5,4,4,,
32,2026-02-25T05:40:10Z,283,微信,,117.9.236.79(天津-天津),85,1,3,1,3,2,4,1,1,0,1,0,0,0,0,0,0,1,2,1,1,0,0,0,3,3,2,4,4,4,3,5,4,3,4,4,3,3,4,4,5,4,4,5,4,4,2,,安装后提供电子档案，扫码就能查保修信息。
33,2026-02-25T05:40:19Z,199,微信,,115.187.0.146(辽宁-沈阳),69,2,2,1,2,1,5,1,1,0,1,0,0,0,1,0,0,0,2,1,0,1,1,0,1,2,2,3,4,4,5,3,4,3,2,2,4,3,4,2,4,2,2,1,4,4,4,产品没个统一标准，这家说承重100公斤，那家说150，谁知道真的假的？,社区服务里能不能有专门的人教老人如何正确使用扶手，比如怎么抓，怎么借力之类的。
34,2026-02-25T05:40:25Z,214,微信,,101.39.5.68(北京-北京),99,1,2,2,4,2,4,2,1,1,1,1,0,0,0,1,0,0,3,1,0,1,1,0,5,5,5,3,5,5,4,5,3,4,3,5,5,5,4,3,3,4,4,4,5,5,5,,希望优先覆盖独居、高龄老人，他们最需要也最抗拒。
35,2026-02-25T05:40:44Z,233,微信,,103.63.155.30(辽宁-沈阳),76,1,1,1,3,3,1,2,1,0,1,1,0,0,0,1,0,0,2,1,0,0,0,0,3,4,3,1,3,4,4,4,3,2,2,4,4,3,4,3,5,5,4,4,3,2,2,安装师傅穿拖鞋就来了，工具也不专业，看着就不放心。,社区服务里能不能有专门的心理咨询，让老人克服对使用扶手的心理障碍，比如觉得丢脸之类的。
36,2026-02-25T05:41:30Z,294,微信,,125.38.233.23(天津-天津),74,2,2,3,1,2,3,2,1,1,1,0,1,0,1,0,0,0,2,1,1,1,0,0,4,4,2,4,3,3,3,4,2,3,3,2,3,4,5,4,3,4,2,3,3,4,2,扶手离墙太近，手指插不进去，只能用手掌推，使不上力。,希望有那种义工或者社工，能定期来家里陪老人说说话，顺便检查检查扶手还结实不。
37,2026-02-25T05:42:24Z,318,微信,,117.12.147.127(天津-天津),86,1,1,2,1,1,3,1,1,1,1,1,0,0,0,0,1,0,3,1,1,1,1,0,4,4,5,5,3,3,4,2,3,4,2,3,5,4,4,5,4,2,4,4,4,5,3,,
38,2026-02-25T05:43:28Z,217,微信,,125.38.104.50(天津-天津),87,2,2,2,1,1,3,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,4,5,3,3,4,4,5,4,3,3,5,4,3,3,2,5,4,4,3,3,4,5,4,产品设计方面，我觉得扶手应该做得更耐用抗磨损一些，有些扶手用没多久就掉漆了。购买渠道嘛，我觉得应该多在电视购物上卖卖，让老人知道有哪些好产品。安装服务还行，师傅装得挺快的，但没打扫干净安装时产生的垃圾。,
39,2026-02-25T05:44:49Z,260,微信,,60.27.177.236(天津-天津),95,1,2,1,1,1,1,2,1,1,1,0,0,0,0,1,0,0,3,1,0,1,1,0,4,4,4,5,5,4,5,5,4,4,4,4,2,3,4,4,4,5,5,5,4,3,4,有的扶手弯头的地方处理得不好，有毛刺，老人手嫩，万一划一下可不得了。,
40,2026-02-25T05:46:14Z,320,微信,,106.47.194.246(天津-天津),84,1,2,1,2,3,2,1,1,1,0,1,0,0,0,1,0,0,3,0,0,1,0,0,3,3,4,4,3,5,4,4,2,3,2,3,5,5,5,5,3,3,3,2,5,4,4,安装后没留任何凭证，保修都不知道找谁。,安装的时候能不能简单点，别搞得家里乌烟瘴气的，最好是无尘安装，老人最烦打扫卫生。
41,2026-02-25T05:46:42Z,229,微信,,111.162.167.61(天津-天津),96,1,3,1,2,2,1,1,1,1,1,1,0,0,0,0,0,1,2,1,0,1,0,0,3,4,4,4,4,4,5,5,4,5,4,4,5,5,5,4,4,5,3,3,4,4,4,扶手设计得太短了，老人有时候需要借力走远点，根本不够用。购买渠道倒是挺多的，但价格差异大，不知道该选哪个。安装服务一般般，师傅装完就走，也不教教老人怎么用。,
42,2026-02-25T05:46:50Z,256,微信,,117.13.156.82(天津-天津),59,2,1,1,1,1,5,2,1,0,1,1,0,0,0,1,0,0,3,1,0,1,1,0,2,3,2,4,5,2,4,2,3,2,3,2,3,3,3,3,3,1,2,1,2,3,1,,
43,2026-02-25T05:47:42Z,350,微信,,111.162.191.43(天津-天津),80,2,3,2,4,3,3,2,1,1,1,0,0,1,0,0,0,0,2,1,0,0,1,0,5,5,3,4,2,4,3,3,3,2,3,3,4,5,3,4,3,5,5,3,3,2,3,,
44,2026-02-25T05:48:19Z,354,微信,,111.32.76.54(天津-天津),102,2,2,3,3,2,5,2,1,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,5,5,5,5,5,5,5,5,5,4,5,3,5,3,4,4,4,4,4,4,4,5,4,安装支架外露太多，我妈走路老蹭到胳膊，疼。,社区服务里能不能有紧急救援服务，如果老人使用扶手时还是不小心跌倒了，能及时得到帮助。
45,2026-02-25T05:49:01Z,323,微信,,60.24.211.205(天津-天津),105,1,3,1,4,3,2,2,1,0,1,0,0,1,0,0,0,0,2,1,0,1,0,1,5,4,4,5,4,5,5,5,5,4,5,4,4,5,5,4,4,5,5,4,5,5,4,材质方面，那种不锈钢的太滑了，老人手上没劲儿，一出汗更握不住。,政府如果能给生产高质量扶手的厂家一些税收优惠，让他们有动力研发更好的产品，我们也能受益。
46,2026-02-25T05:49:52Z,189,微信,,60.27.191.74(天津-天津),79,1,3,1,3,2,6,1,1,0,1,0,0,0,1,0,0,0,2,1,0,0,1,0,4,5,3,4,1,2,1,3,5,3,3,3,5,4,3,4,5,5,5,5,2,2,2,没有靠谱的购买渠道推荐，问朋友、问社区都不知道，只能自己在网上瞎找，心里没底。,别等到下雨天台阶滑了才想起装楼道扶手，要提前预防。
47,2026-02-25T05:50:16Z,338,微信,,111.162.216.116(天津-天津),81,1,3,3,3,2,5,2,0,1,1,1,0,0,0,1,0,0,5,1,0,1,1,0,3,4,4,3,4,4,3,4,3,4,5,4,2,2,2,2,4,4,3,4,5,4,4,我们去买的时候，导购自己也说不清楚承重是多少，就一个劲儿说能站俩人，谁信啊。,
48,2026-02-25T05:50:49Z,238,微信,,111.32.123.149(天津-天津),88,2,4,2,3,1,1,2,1,0,1,0,1,0,0,1,0,0,2,1,1,1,1,0,5,4,5,5,3,4,4,5,3,4,4,4,5,4,4,5,2,2,3,1,4,4,4,安装工具太老旧，螺丝拧花，后期想调都调不了。,如果安装扶手破坏了墙面，社区能不能帮忙联系师傅给补一下漆，我们找不着人。
49,2026-02-25T05:51:04Z,320,微信,,111.32.125.68(天津-天津),71,2,5,2,4,2,6,2,1,0,1,1,0,1,0,0,0,0,3,1,0,1,1,1,2,2,2,1,5,3,4,4,5,5,5,4,2,3,3,3,4,2,1,3,3,2,3,安装需要自己准备工具和配件，我们年轻人也不懂这些，跑好几趟建材市场才能买齐。,希望政府购买第三方监理，确保安装质量。
50,2026-02-25T05:51:55Z,268,微信,,36.106.187.10(天津-天津),87,1,3,1,3,1,1,2,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,4,5,5,4,4,5,5,3,2,3,4,4,4,4,3,4,2,3,3,3,3,5,5,扶手表面的漆，用久了会不会掉？万一掉漆生锈，我们也不知道怎么翻新。,
51,2026-02-25T05:52:28Z,286,微信,,111.32.76.47(天津-天津),95,1,1,1,1,2,1,2,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,5,5,4,4,5,5,5,5,4,4,5,5,4,5,4,4,3,3,2,2,4,4,4,,
52,2026-02-25T05:52:38Z,232,微信,,60.25.189.5(天津-天津),102,1,1,1,2,1,5,1,1,1,0,1,0,0,0,1,0,0,2,1,1,1,0,0,5,5,5,4,3,5,4,4,4,5,4,4,4,5,5,3,4,4,5,5,5,5,5,,
53,2026-02-25T05:53:19Z,243,微信,,180.213.151.112(天津-天津),104,1,2,2,1,1,5,2,1,1,1,1,0,1,0,0,0,0,5,1,1,1,1,0,4,3,5,4,5,5,5,5,5,4,4,4,5,5,3,5,5,5,4,4,5,5,5,没有适配老房瓷砖的安装配件，打孔就崩瓷，修都修不好。,社区能不能组织一些志愿者，帮老人挑选适合的防跌倒扶手，根据他们的身体状况和家居环境。
54,2026-02-25T05:54:09Z,293,微信,,111.162.186.252(天津-天津),80,1,5,2,4,3,5,2,1,1,1,0,0,0,1,0,0,0,3,1,1,0,0,0,4,4,2,2,5,5,4,5,3,3,3,1,3,4,3,4,4,4,4,3,3,4,3,,
55,2026-02-25T05:54:33Z,256,微信,,103.63.155.18(辽宁-沈阳),97,2,3,3,3,3,3,1,1,1,0,0,0,0,1,0,0,0,5,1,1,1,1,0,4,4,4,5,3,3,5,3,4,5,4,4,3,5,4,3,5,4,5,5,5,5,5,,
56,2026-02-25T05:55:22Z,241,微信,,111.33.254.48(天津-天津),82,2,3,3,4,3,3,1,1,0,1,0,0,0,0,0,0,1,5,1,0,0,0,0,5,4,3,5,4,4,4,4,1,1,2,2,4,5,4,3,5,5,4,5,2,4,2,别光给安在厕所里，卧室床边其实更急用，起夜的时候最危险。,装完别急着走，现场演示怎么起身、转身最省力。
57,2026-02-25T05:55:32Z,188,微信,,111.163.141.207(天津-天津),101,2,1,1,2,2,5,2,0,0,1,0,1,0,0,0,1,0,3,0,1,1,0,1,4,5,4,5,4,5,5,4,5,5,5,4,5,4,4,4,4,4,3,4,5,5,4,产品的颜色能不能做成长者友好的，比如鲜艳点，老人视力不好，一眼得能看见。,
58,2026-02-25T05:56:03Z,187,微信,,111.30.231.93(天津-天津),97,2,2,1,3,3,1,2,1,1,1,0,0,0,0,1,0,0,2,1,0,1,1,0,4,4,4,4,5,5,4,4,4,4,4,3,3,5,4,4,5,4,4,5,4,5,5,,
59,2026-02-25T05:56:39Z,197,微信,,36.106.89.229(天津-天津),80,1,2,1,1,1,3,1,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,2,3,3,4,5,5,5,4,4,4,4,4,4,3,4,4,4,2,3,3,3,2,没有提供清洗保养建议，积水发霉了才知道要擦。,要是能有个公益热线，专门解答老年人对辅具的疑问，那该多方便啊。
60,2026-02-25T05:57:04Z,191,微信,,180.213.137.2(天津-天津),89,1,4,3,4,3,4,1,1,1,1,0,0,0,1,0,0,0,2,1,0,0,1,0,3,4,5,3,5,5,5,4,4,3,3,4,3,3,4,3,5,5,4,3,4,4,3,扶手设计得太不人性化了，没有考虑到老人不同的使用习惯。购买渠道倒是挺多的，但网上买容易被骗，希望能有更安全的支付方式。安装服务还行，师傅来得挺准时的，但没带水平仪，装得有点歪。,
61,2026-02-25T05:57:22Z,209,微信,,111.30.203.160(天津-天津),91,2,4,1,3,1,2,2,1,0,1,1,1,1,0,0,0,0,2,0,0,0,1,0,4,3,3,3,5,5,4,4,4,4,3,1,4,5,5,4,4,4,5,4,4,4,5,扶手设计得太不灵活了，不能根据老人身高调节高度。购买渠道倒是挺多的，但网上买容易买到次品，希望能有更严格的质检。安装服务还行，师傅装得挺快的，但没教老人怎么维护扶手。,
62,2026-02-25T05:57:29Z,291,微信,,117.12.145.116(天津-天津),76,2,3,1,3,1,3,2,1,0,1,0,0,0,0,1,0,0,5,1,1,1,1,0,4,4,3,2,3,3,2,2,4,4,2,3,3,5,4,3,3,2,4,4,5,4,3,产品介绍写得天花乱坠，实际材质薄得像铁皮。,社区能不能定期组织一些关于防跌倒扶手的讲座，让老人和家属都去听听，了解它的好处和重要性。
63,2026-02-25T05:58:03Z,286,微信,,111.161.190.138(天津-天津),75,1,3,1,2,1,3,1,1,0,1,0,0,0,0,1,0,0,5,1,0,1,1,1,3,4,4,2,3,4,4,2,4,5,4,4,3,3,4,4,3,3,3,3,3,1,2,有些商家把配件单独卖，买完主体发现螺丝不够长，还得再花钱配，感觉被套路了。,
64,2026-02-25T05:58:28Z,247,微信,,125.38.233.23(天津-天津),80,1,1,2,2,1,4,2,1,1,1,0,0,1,0,0,0,0,2,1,0,1,1,0,5,4,4,4,5,5,5,4,2,2,3,4,2,2,3,4,1,1,4,4,5,3,4,扶手的材质不耐用，卫生间用没多久就生锈、发霉，看起来脏兮兮的，还容易打滑。,能不能和医保个人账户支付打通？减轻现金压力。
65,2026-02-25T05:58:33Z,201,微信,,111.32.92.222(天津-天津),81,2,1,1,1,1,2,1,1,1,1,0,0,0,0,1,0,0,2,1,1,1,0,0,2,1,2,2,4,5,5,4,3,4,3,3,4,3,3,3,5,5,4,5,2,4,5,,
66,2026-02-25T05:59:08Z,189,微信,,180.213.90.88(天津-天津),77,1,4,2,4,2,6,2,1,1,1,1,0,0,0,1,0,0,3,0,0,0,1,0,4,4,2,4,4,4,3,4,2,1,3,2,4,4,4,4,3,4,4,4,3,2,4,有些商家只管卖不管装，给个钻头让你自己弄，我们年轻人还行，老人自个儿哪会弄啊。,老人有时候不是不愿意用，是忘记了用，希望门口能有个提示牌，出门时提醒自己扶着点。
67,2026-02-25T05:59:11Z,282,微信,,111.31.137.193(天津-天津),81,1,1,2,3,1,5,1,1,0,1,0,0,1,0,0,0,0,3,1,0,0,0,1,3,4,5,5,2,3,4,3,3,4,4,4,4,4,5,4,3,3,2,2,2,4,4,,
68,2026-02-25T05:59:46Z,255,微信,,116.78.83.174(天津-天津),64,1,2,1,2,1,2,2,1,0,0,1,0,0,0,1,0,0,3,1,0,1,0,0,1,2,3,3,4,2,4,5,3,4,2,4,2,2,1,4,2,2,2,3,3,3,3,有些所谓“防滑”只是刻几道线，沾水照样滑，纯属噱头。,我希望社区能组织一些老人之间的交流活动，让他们互相分享使用扶手的经验和感受。
69,2026-02-25T05:59:54Z,228,微信,,111.30.211.231(天津-天津),89,1,3,2,3,2,2,1,1,0,0,1,0,0,0,1,0,0,2,1,0,1,1,0,4,4,5,5,5,5,3,5,4,4,3,4,2,3,2,2,5,4,4,5,4,3,4,真希望能给每家每户都评估一下，看看哪里需要装哪里，别一刀切。,能不能组织子女专场讲座？教我们怎么说服父母。
70,2026-02-25T06:00:01Z,187,微信,,111.32.83.208(天津-天津),57,1,2,1,1,2,4,2,1,0,1,0,0,1,0,0,0,0,2,1,1,1,1,0,2,2,1,2,3,3,1,2,3,4,2,4,2,1,2,2,1,2,2,3,5,5,3,最大的问题是——没人真正蹲下来，以老人的视角去设计和安装。,社区能不能上门登记老人的需求，主动询问要不要装扶手、有什么顾虑，不用我们自己到处打听政策、找安装师傅。
